3000	 0.2	 Bubonic Bitch	 0.8	 0.4
Next Time Step Initiating...
person#80 has infected person#2238
person#80 has infected person#1693
person#80 has infected person#102
person#80 has infected person#1024
person#80 has infected person#1486
person#80 has infected person#2897
person#80 has infected person#654
person#80 has infected person#1558
person#80 has infected person#614
person#80 has infected person#592
person#80 has infected person#2916
person#80 has infected person#1261
person#80 has infected person#1827
person#80 has infected person#740
person#80 has infected person#974
person#80 has infected person#26
person#80 has infected person#850
person#80 has infected person#607
person#80 has infected person#1429
person#80 has infected person#2471
person#80 has infected person#359
person#80 has infected person#2302
person#80 has infected person#1225
person#80 has infected person#265
person#80 has infected person#551
person#80 has infected person#1124
person#80 has infected person#2850
person#80 has infected person#238
Person#80 has died
person#82 has infected person#2496
person#82 has infected person#1367
person#82 has infected person#2611
person#82 has infected person#1260
person#82 has infected person#2252
person#82 has infected person#25
person#82 has infected person#1398
person#82 has infected person#794
person#82 has infected person#2644
person#82 has infected person#2777
person#82 has infected person#2194
person#82 has infected person#1595
person#82 has infected person#1239
person#82 has infected person#716
person#82 has infected person#2048
person#82 has infected person#2144
person#82 has infected person#1340
person#82 has infected person#543
person#82 has infected person#16
person#82 has infected person#821
person#82 has infected person#1116
person#82 has infected person#468
person#82 has infected person#2222
person#82 has infected person#1304
person#82 has infected person#701
Person#82 has died
person#102 has infected person#207
person#102 has infected person#2766
person#102 has infected person#1571
person#102 has infected person#1746
person#102 has infected person#2524
person#102 has infected person#1866
person#102 has infected person#916
person#102 has infected person#2526
person#102 has infected person#1488
person#102 has infected person#699
person#102 has infected person#438
person#102 has infected person#2244
person#102 has infected person#1572
person#102 has infected person#967
person#102 has infected person#2742
person#102 has infected person#1823
person#102 has infected person#1552
person#102 has infected person#370
person#102 has infected person#1831
person#102 has infected person#2783
person#102 has infected person#2386
person#102 has infected person#255
person#102 has infected person#217
person#102 has infected person#1471
person#102 has infected person#127
person#102 has infected person#1663
person#102 has infected person#2232
person#102 has infected person#2744
person#102 has infected person#47
person#102 has infected person#64
Person#102 has Survived the disease
person#106 has infected person#556
person#106 has infected person#1575
person#106 has infected person#2993
person#106 has infected person#1503
person#106 has infected person#1509
person#106 has infected person#362
person#106 has infected person#2739
person#106 has infected person#2374
person#106 has infected person#1724
person#106 has infected person#1206
person#106 has infected person#2346
person#106 has infected person#2557
person#106 has infected person#337
person#106 has infected person#1032
person#106 has infected person#1150
person#106 has infected person#1052
person#106 has infected person#718
person#106 has infected person#1569
person#106 has infected person#685
person#106 has infected person#2630
person#106 has infected person#475
person#106 has infected person#1900
person#106 has infected person#2181
person#106 has infected person#1780
person#106 has infected person#1838
Person#106 has Survived the disease
person#112 has infected person#1107
person#112 has infected person#402
person#112 has infected person#2755
person#112 has infected person#278
person#112 has infected person#1826
person#112 has infected person#1160
person#112 has infected person#2613
person#112 has infected person#491
person#112 has infected person#2476
person#112 has infected person#1037
person#112 has infected person#1324
person#112 has infected person#1591
person#112 has infected person#1084
person#112 has infected person#2499
person#112 has infected person#1766
person#112 has infected person#423
person#112 has infected person#1091
person#112 has infected person#13
person#112 has infected person#1470
person#112 has infected person#2650
person#112 has infected person#1392
person#112 has infected person#1992
person#112 has infected person#776
person#112 has infected person#790
person#112 has infected person#2428
person#112 has infected person#1592
Person#112 has died
person#127 has infected person#67
person#127 has infected person#2197
person#127 has infected person#2373
person#127 has infected person#58
person#127 has infected person#2420
person#127 has infected person#903
person#127 has infected person#1646
person#127 has infected person#562
person#127 has infected person#1374
person#127 has infected person#2852
person#127 has infected person#2383
person#127 has infected person#646
person#127 has infected person#1994
person#127 has infected person#29
person#127 has infected person#844
person#127 has infected person#1687
person#127 has infected person#1233
person#127 has infected person#2284
person#127 has infected person#2535
person#127 has infected person#2078
person#127 has infected person#793
person#127 has infected person#1167
person#127 has infected person#1856
person#127 has infected person#2109
person#127 has infected person#1716
Person#127 has died
person#128 has infected person#1335
person#128 has infected person#1984
person#128 has infected person#1785
person#128 has infected person#1863
person#128 has infected person#1529
person#128 has infected person#2948
person#128 has infected person#828
person#128 has infected person#1149
person#128 has infected person#1407
person#128 has infected person#2472
person#128 has infected person#1143
person#128 has infected person#1010
person#128 has infected person#2028
person#128 has infected person#892
person#128 has infected person#1211
person#128 has infected person#371
person#128 has infected person#289
person#128 has infected person#2763
person#128 has infected person#211
person#128 has infected person#167
person#128 has infected person#2887
person#128 has infected person#1371
person#128 has infected person#2878
person#128 has infected person#923
person#128 has infected person#1732
person#128 has infected person#259
Person#128 has died
person#137 has infected person#1875
person#137 has infected person#732
person#137 has infected person#315
person#137 has infected person#2032
person#137 has infected person#92
person#137 has infected person#87
person#137 has infected person#2370
person#137 has infected person#1255
person#137 has infected person#1446
person#137 has infected person#1168
person#137 has infected person#660
person#137 has infected person#1514
person#137 has infected person#1408
person#137 has infected person#2731
person#137 has infected person#164
person#137 has infected person#2256
person#137 has infected person#378
person#137 has infected person#2156
person#137 has infected person#801
person#137 has infected person#1478
person#137 has infected person#1751
person#137 has infected person#1527
person#137 has infected person#1412
